demographic,duration_per_ep,favorites,genres,members,name,name_english,popularity,premiered,ranked,rating,score,scored_by,studios,synonyms,synopsis,total_episodes,type_of
Shounen,"
  26 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  24,344\n'>]>","Action,Fantasy","1,411,852",Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,#88,Winter 2022,#44,"
  R - 17+ (violence & profanity)
  ",8.76,895003,ufotable," 鬼滅の刃 遊郭編
  ","The devastation of the Mugen Train incident still weighs heavily on the members of the Demon Slayer Corps. Despite being given time to recover, life must go on, as the wicked never sleep: a vicious demon is terrorizing the alluring women of the Yoshiwara Entertainment District. The Sound Hashira, Tengen Uzui, and his three wives are on the case. However, when he soon loses contact with his spouses, Tengen fears the worst and enlists the help of Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira to infiltrate the district's most prominent houses and locate the depraved Upper Rank Demon.,
[Written by MAL Rewrite]","
  11
  ",TV
Shounen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  52,164\n'>]>","Action,Drama,Suspense","1,984,542",Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,#35,Winter 2021,#35,"
  R - 17+ (violence & profanity)
  ",8.79,1317862,MAPPA," Shingeki no Kyojin Season 4, Attack on Titan Season 4
  ","Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.,
Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.,
In ,, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.,
[Written by MAL Rewrite]","
  16
  ",TV
Shounen,"
  2 hr. 4 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  527\n'>]>","Award Winning,Sports","40,331",The First Slam Dunk,,#3498,,#36,"
  PG-13 - Teens 13 or older
  ",8.78,13496,Toei Animation," THE FIRST SLAM DUNK
  ","Shohoku's ""speedster"" and point guard, Ryouta Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. Born and raised in Okinawa, Ryouta had a brother who was three years older. Following in the footsteps of his older brother, who was a famous local player from a young age, Ryouta also became addicted to basketball.,
In his second year of high school, Ryouta plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.,
(Source: GKIDS, edited)","
  1
  ",Movie
,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  27,025\n'>]>",,"555,922",Bocchi the Rock!,,#391,Fall 2022,#33,"
  PG-13 - Teens 13 or older
  ",8.79,333862,CloverWorks," ぼっち・ざ・ろっく！
  ","Yearning to make friends and perform live with a band, lonely and socially anxious Hitori ""Bocchi"" Gotou devotes her time to playing the guitar. On a fateful day, Bocchi meets the outgoing drummer Nijika Ijichi, who invites her to join Kessoku Band when their guitarist, Ikuyo Kita, flees before their first show. Soon after, Bocchi meets her final bandmate—the cool bassist Ryou Yamada. ,
Although their first performance together is subpar, the girls feel empowered by their shared love for music, and they are soon rejoined by Kita. Finding happiness in performing, Bocchi and her bandmates put their hearts into improving as musicians while making the most of their fleeting high school days.,
[Written by MAL Rewrite]","
  12
  ",TV
Seinen,"
  1 hr. 36 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  1,819\n'>]>","Comedy,Drama,Romance","257,113",Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War - The First Kiss That Never Ends,#936,,#38,"
  PG-13 - Teens 13 or older
  ",8.78,138534,A-1 Pictures," かぐや様は告らせたい -ファーストキッスは終わらない-
  ","After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings.,
While the lovestruck student council officers fret, the Christmas season rolls around, and romance is in the air. In the face of widespread tenderness, Kaguya and Shirogane must endure their affectionate battle of wits once more. Should they reconcile their feelings for one another, they may find themselves within reach of what they have both been longing for so long: true love.,
[Written by MAL Rewrite]","
  1
  ",Movie
Shounen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  30,066\n'>]>","Action,Drama,Suspense","1,277,919",Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,#103,Winter 2022,#43,"
  R - 17+ (violence & profanity)
  ",8.76,738482,MAPPA," Shingeki no Kyojin Season 4, Attack on Titan Season 4
  ","Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.,
Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.,
Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.,
[Written by MAL Rewrite]","
  12
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  1,172\n'>]>","Action,Comedy,Sci-Fi","211,874",Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,#1135,Winter 2018,#32,"
  PG-13 - Teens 13 or older
  ",8.81,103862,Bandai Namco Pictures," 銀魂. 銀ノ魂篇
  ","After the fierce battle on Rakuyou, the untold past and true goal of the immortal Naraku leader, Utsuro, are finally revealed. By corrupting the Altana reserves of several planets, Utsuro has successfully triggered the intervention of the Tendoshuu’s greatest enemy: the Altana Liberation Army. With Earth as the main battleground in this interplanetary war, Utsuro's master plan to destroy the planet—and himself—is nearly complete. ,
An attack on the O-Edo Central Terminal marks the beginning of the final battle to take back the land of the samurai. With the Yorozuya nowhere in sight, the bakufu all but collapsed, and the Shogun missing, the people are left completely helpless as the Liberation Army begins pillaging Edo in the name of freeing them from the Tendoshuu's rule. ,
Caught in the crossfire between two equally imposing forces, can Gintoki, Kagura, Shinpachi, and the former students of Shouyou Yoshida put aside their differences and unite their allies to protect what they hold dear?,
[Written by MAL Rewrite]","
  12
  ",TV
,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  32,281\n'>]>","Action,Comedy,Supernatural","1,520,174",Mob Psycho 100 II,,#73,Winter 2019,#34,"
  PG-13 - Teens 13 or older
  ",8.79,959622,Bones," Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred
  ","Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.,
While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.,
[Written by MAL Rewrite]","
  13
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  15,483\n'>]>",,"1,196,045",Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,#117,Fall 2016,#37,"
  PG-13 - Teens 13 or older
  ",8.78,793047,Production I.G," Haikyuu!! Third Season, Haikyuu!! Karasuno High VS Shiratorizawa Academy
  ","After the victory against Aoba Jousai High, Karasuno High School, once called “a fallen powerhouse, a crow that can’t fly,” has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the country’s top three aces.,
Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season of ,.,
[Written by MAL Rewrite] ","
  10
  ",TV
Seinen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  367\n'>]>",,"30,886",Kingdom 5th Season,Kingdom: Season 5,#3995,Winter 2024,#40,"
  R - 17+ (violence & profanity)
  ",8.77,8076,Pierrot," キングダム 第5シリーズ
  ","Fifth season of ,.","
  13
  ",TV
Seinen,"
  25 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  2,080\n'>]>",,"102,081",Kingdom 3rd Season,Kingdom: Season 3,#2036,Spring 2020,#30,"
  R - 17+ (violence & profanity)
  ",8.82,39876,Pierrot," キングダム 第3シリーズ
  ","Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states.,
Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other states without interruption. Seemingly without warning, Ying Zheng receives news that armies from the states of Chu, Zhao, Wei, Han, Yan, and Qi have crossed into Qin territory. Realizing too late the purpose behind Li Mu's truce with Qin, Zheng quickly gathers his advisors to devise a plan to address the six-state coalition army on their doorstep. For the first time in history, the state of Qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map.,
[Written by MAL Rewrite]","
  26
  ",TV
,"
  1 hr. 46 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  90,182\n'>]>","Award Winning,Drama,Supernatural","2,728,277",Kimi no Na wa.,Your Name.,#11,,#29,"
  PG-13 - Teens 13 or older
  ",8.84,1893125,CoMix Wave Films," 君の名は。
  ","Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.,
One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another., revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.,
[Written by MAL Rewrite]","
  1
  ",Movie
Seinen,"
  25 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  13,744\n'>]>","Action,Adventure,Drama","594,123",Vinland Saga Season 2,,#363,Winter 2023,#31,"
  R - 17+ (violence & profanity)
  ",8.81,303447,MAPPA," ヴィンランド・サガ SEASON2
  ","After his father's death and the destruction of his village at the hands of English raiders, Einar wishes for a peaceful life with his family on their newly rebuilt farms. However, fate has other plans: his village is invaded once again. Einar watches helplessly as the marauding Danes burn his lands and slaughter his family. The invaders capture Einar and take him back to Denmark as a slave. ,
Einar clings to his mother's final words to survive. He is purchased by Ketil, a kind slave owner and landlord who promises that Einar can regain his freedom in return for working in the fields. Soon, Einar encounters his new partner in farm cultivation—Thorfinn, a dejected and melancholic slave. As Einar and Thorfinn work together toward their freedom, they are haunted by both sins of the past and the ploys of the present. Yet they carry on, grasping for a glimmer of hope, redemption, and peace in a world that is nothing but unjust and unforgiving.,
[Written by MAL Rewrite]","
  24
  ",TV
,"
  1 hr. 23 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  7,486\n'>]>","Action,Mystery,Supernatural","460,106",Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Cold-Blooded,#485,,#39,"
  R - 17+ (violence & profanity)
  ",8.78,267888,Shaft," Koyomi Vamp
  ","After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. ,
Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.,
But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?,
Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…,
[Written by MAL Rewrite]","
  1
  ",Movie
,"
  22 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  8,629\n'>]>","Comedy,Mystery,Supernatural","397,443",Owarimonogatari 2nd Season,Owarimonogatari Second Season,#574,,#26,"
  R - 17+ (violence & profanity)
  ",8.87,191476,Shaft," End Story 2nd Season
  ","Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.  ,
Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.,
[Written by MAL Rewrite]","
  7
  ",TV Special
Shounen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  20,189\n'>]>","Action,Fantasy","891,733",Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,#191,Summer 2023,#28,"
  R - 17+ (violence & profanity)
  ",8.84,449503,MAPPA," Jujutsu Kaisen: Kaigyoku Gyokusetsu, Jujutsu Kaisen: Shibuya Jihen, Sorcery Fight, JJK
  ","The year is 2006, and the halls of Tokyo Prefectural Jujutsu High School echo with the endless bickering and intense debate between two inseparable best friends. Exuding unshakeable confidence, Satoru Gojou and Suguru Getou believe there is no challenge too great for young and powerful Special Grade sorcerers such as themselves. They are tasked with safely delivering a sensible girl named Riko Amanai to the entity whose existence is the very essence of the jujutsu world. However, the mission plunges them into an exhausting swirl of moral conflict that threatens to destroy the already feeble amity between sorcerers and ordinary humans.,
Twelve years later, students and sorcerers are the frontline defense against the rising number of high-level curses born from humans' negative emotions. As the entities grow in power, their self-awareness and ambition increase too. The curses unite for the common goal of eradicating humans and creating a world of only cursed energy users, led by a dangerous, ancient cursed spirit. To dispose of their greatest obstacle—the strongest sorcerer, Gojou—they orchestrate an attack at Shibuya Station on Halloween. Dividing into teams, the sorcerers enter the fight prepared to risk everything to protect the innocent and their own kind.,
[Written by MAL Rewrite]","
  23
  ",TV
,"
  2 hr. 20 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  8,691\n'>]>","Award Winning,Drama,Fantasy","604,212",Violet Evergarden Movie,Violet Evergarden: The Movie,#357,,#27,"
  PG-13 - Teens 13 or older
  ",8.87,272021,Kyoto Animation," Gekijouban Violet Evergarden
  ","Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear., follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.,
[Written by MAL Rewrite]","
  1
  ",Movie
Shounen,"
  1 hr. 50 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  2,115\n'>]>","Action,Comedy,Sci-Fi","239,804",Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,#998,,#23,"
  PG-13 - Teens 13 or older
  ",8.90,134820,Sunrise," Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2
  ","When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.,
Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.,
[Written by MAL Rewrite]","
  1
  ",Movie
Shounen,"
  1 hr. 12 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  15,135\n'>]>","Action,Drama,Suspense","630,942",Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,#336,,#22,"
  R - 17+ (violence & profanity)
  ",8.91,361066,MAPPA," Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4
  ","In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process.,
As Eren pushes forward at any cost, he battles his own internal turmoil. Although he feels immense remorse over his horrific invasion, Eren believes he harbors noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people.,
The opposing battalions spiral toward an inevitable final clash that may claim the lives of millions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom.,
[Written by MAL Rewrite]","
  2
  ",TV Special
Shounen,"
  2 hr. 10 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  87,299\n'>]>","Award Winning,Drama","2,315,977",Koe no Katachi,A Silent Voice,#20,,#17,"
  PG-13 - Teens 13 or older
  ",8.93,1604864,Kyoto Animation," The Shape of Voice
  ","As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.,
Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends., tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.,
[Written by MAL Rewrite]","
  1
  ",Movie
